# Size bubble_sort insertion_sort merge_sort quick_sort selection_sort
5000 0.088333 0.022284 0.0026925 0.00052519 0.0320545
6000 0.124213 0.0319707 0.00430569 0.00062764 0.0460275
7000 0.172469 0.043828 0.00384767 0.000804025 0.0639067
8000 0.226357 0.0601537 0.00443692 0.0009753 0.0840301
9000 0.294257 0.0744446 0.00490499 0.000981607 0.10376
10000 0.359272 0.0936668 0.00557881 0.00111887 0.133549
11000 0.436404 0.107985 0.00609887 0.00123049 0.155006
12000 0.512679 0.127924 0.00779169 0.00133514 0.185019
13000 0.600883 0.150539 0.00733377 0.00149348 0.216677
14000 0.700974 0.17497 0.00783663 0.00161971 0.251517
15000 0.807491 0.201739 0.0084442 0.0017458 0.289558
16000 0.924951 0.229898 0.00901247 0.00188787 0.330942
17000 1.04494 0.263922 0.00972657 0.0020551 0.377451
18000 1.183 0.291577 0.0115462 0.00213516 0.418076
19000 1.3144 0.395764 0.0135961 0.00243443 0.495746
20000 1.47563 0.367984 0.0124554 0.00377742 0.518612
